,id,name,favourite_food
0,0,Murzik0,Sausages
1,0,Murzik1,Sausages
2,0,Murzik2,Sausages
3,0,Murzik3,Sausages
4,0,Murzik4,Sausages
5,0,Murzik5,Sausages
6,0,Murzik6,Sausages
7,0,Murzik7,Sausages
8,0,Murzik8,Sausages
9,0,Murzik9,Sausages
10,0,Murzik10,Sausages
11,0,Murzik11,Sausages
12,0,Murzik12,Sausages
13,0,Murzik13,Sausages
14,0,Murzik14,Sausages
15,0,Murzik15,Sausages
16,0,Murzik16,Sausages
17,0,Murzik17,Sausages
18,0,Murzik18,Sausages
19,0,Murzik19,Sausages
20,0,Murzik20,Sausages
21,0,Murzik21,Sausages
22,0,Murzik22,Sausages
23,0,Murzik23,Sausages
24,0,Murzik24,Sausages
25,0,Murzik25,Sausages
26,0,Murzik26,Sausages
27,0,Murzik27,Sausages
28,0,Murzik28,Sausages
29,0,Murzik29,Sausages
30,0,Murzik30,Sausages
31,0,Murzik31,Sausages
32,0,Murzik32,Sausages
33,0,Murzik33,Sausages
34,0,Murzik34,Sausages
35,0,Murzik35,Sausages
36,0,Murzik36,Sausages
37,0,Murzik37,Sausages
38,0,Murzik38,Sausages
39,0,Murzik39,Sausages
40,0,Murzik40,Sausages
41,0,Murzik41,Sausages
42,0,Murzik42,Sausages
43,0,Murzik43,Sausages
44,0,Murzik44,Sausages
45,0,Murzik45,Sausages
46,0,Murzik46,Sausages
47,0,Murzik47,Sausages
48,0,Murzik48,Sausages
49,0,Murzik49,Sausages
50,0,Murzik50,Sausages
51,0,Murzik51,Sausages
52,0,Murzik52,Sausages
53,0,Murzik53,Sausages
54,0,Murzik54,Sausages
55,0,Murzik55,Sausages
56,0,Murzik56,Sausages
57,0,Murzik57,Sausages
58,0,Murzik58,Sausages
59,0,Murzik59,Sausages
60,0,Murzik60,Sausages
61,0,Murzik61,Sausages
62,0,Murzik62,Sausages
63,0,Murzik63,Sausages
64,0,Murzik64,Sausages
65,0,Murzik65,Sausages
66,0,Murzik66,Sausages
67,0,Murzik67,Sausages
68,0,Murzik68,Sausages
69,0,Murzik69,Sausages
70,0,Murzik70,Sausages
71,0,Murzik71,Sausages
72,0,Murzik72,Sausages
73,0,Murzik73,Sausages
74,0,Murzik74,Sausages
75,0,Murzik75,Sausages
76,0,Murzik76,Sausages
77,0,Murzik77,Sausages
78,0,Murzik78,Sausages
79,0,Murzik79,Sausages
80,0,Murzik80,Sausages
81,0,Murzik81,Sausages
82,0,Murzik82,Sausages
83,0,Murzik83,Sausages
84,0,Murzik84,Sausages
